name,shoots,height_cm,weight_kg
Hubert Davis,Right,195.58,83.082
Ian Clark,Right,190.5,79.45
Ian Mahinmi,Right,210.82,104.42
Ibo Kutluay,Right,198.12,90.8
Igor Rakocevic,Right,190.5,83.082
Ike Diogu,Right,203.2,113.5
Iman Shumpert,Right,195.58,96.248
Ime Udoka,Right,198.12,97.61
Ira Bowman,Right,195.58,88.53
Ira Newble,Right,200.66,99.88
Isaac Austin,Right,208.28,115.77
Isaac Fontaine,Right,193.04,95.34
Isaiah Canaan,Right,182.88,85.352
Isaiah Rider,Right,195.58,97.61
Isaiah Thomas,Left,175.26,83.99
Ish Smith,Right,182.88,79.45
Ivan Johnson,Right,203.2,104.42
Ivan McFarlin,Right,203.2,108.96
J.J. Barea,Right,182.88,83.99
J.J. Hickson,Right,205.74,109.868
J.J. Redick,Right,193.04,86.26
J.R. Bremer,Left,187.96,83.99
J.R. Giddens,Right,195.58,97.61
J.R. Reid,Right,205.74,112.138
J.R. Smith,Right,198.12,99.88
Jabari Brown,Right,193.04,97.61
Jabari Parker,Right,203.2,113.5
Jabari Smith,Right,210.82,113.5
Jack Cooley,Right,205.74,118.04
Jackie Butler,Right,208.28,113.5
Jackson Vroman,Right,208.28,99.88
Jacque Vaughn,Right,185.42,86.26
Jae Crowder,Right,200.66,108.96
Jahidi White,Right,205.74,131.66
Jahlil Okafor,Right,210.82,124.85
JaJuan Johnson,Right,208.28,100.334
JaKarr Sampson,Right,205.74,97.156
Jake Tsakalidis,Right,218.44,129.39
Jake Voskuhl,Right,210.82,111.23
Jalen Rose,Left,203.2,95.34
Jamaal Franklin,Right,195.58,86.714
Jamaal Magloire,Right,210.82,117.586
Jamaal Tinsley,Right,190.5,88.53
Jamal Crawford,Right,195.58,90.8
Jamal Mashburn,Right,203.2,108.96
Jamal Robinson,Right,200.66,96.248
Jamal Sampson,Right,210.82,106.69
Jamario Moon,Right,203.2,93.07
Jameer Nelson,Right,182.88,86.26
Jamel Thomas,Right,198.12,97.61
James Anderson,Right,198.12,97.61
James Augustine,Left,208.28,106.69
James Ennis,Right,200.66,95.34
James Harden,Left,195.58,99.88
James Johnson,Right,205.74,111.23
James Jones,Right,203.2,102.15
James Lang,Right,208.28,129.39
James Michael McAdoo,Right,205.74,104.42
James Nunnally,Right,200.66,93.07
James Posey,Right,203.2,97.61
James Robinson,Right,187.96,81.72
James Singleton,Right,203.2,98.064
James Southerland,Right,203.2,97.61
James Thomas,Right,203.2,106.69
James White,Right,200.66,90.8
James Young,Left,198.12,97.61
Jamie Feick,Right,205.74,115.77
Jamison Brewer,Right,193.04,83.536
JaMychal Green,Right,205.74,103.058
Jan Vesely,Right,210.82,108.96
Jannero Pargo,Right,185.42,79.45
Jared Cunningham,Right,193.04,88.076
Jared Dudley,Right,200.66,102.15
Jared Jeffries,Right,210.82,104.42
Jared Reiner,Right,210.82,115.77
Jared Sullinger,Right,205.74,127.12
Jaren Jackson,Right,193.04,86.26
