Player,Season,Team,Salary,PPG,Height,Weight,PPM
Tim Thomas,2009,Chicago Bulls,6049400,5.83333,208,104,0.41339
Tim Thomas,2010,Dallas Mavericks,6466600,7.5,208,104,0.47368
Tim Young,2000,Golden State Warriors,301875,2.16,213,100,0.39416
Timofey Mozgov,2011,TOT,3567096,3.62222,216,114,0.31107
Timofey Mozgov,2011,New York Knicks,3567096,3.97059,216,114,0.29476
Timofey Mozgov,2011,Denver Nuggets,3567096,2.54545,216,114,0.42424
Timofey Mozgov,2012,Denver Nuggets,3343896,5.43182,216,114,0.34789
Timofey Mozgov,2013,Denver Nuggets,3140429,2.63415,216,114,0.29508
Timofey Mozgov,2014,Denver Nuggets,4400000,9.39024,216,114,0.43503
Timofey Mozgov,2015,TOT,4650000,9.69136,216,114,0.38386
Timofey Mozgov,2015,Denver Nuggets,4650000,8.54286,216,114,0.33333
Timofey Mozgov,2015,Cleveland Cavaliers,4650000,10.56522,216,114,0.42334
Timofey Mozgov,2016,Cleveland Cavaliers,4950000,6.25,216,114,0.35822
Tito Maddox,2003,Houston Rockets,349458,1.22222,193,86,0.31429
Tobias Harris,2012,Milwaukee Bucks,1418160,4.95238,203,103,0.43424
Tobias Harris,2013,TOT,1524480,10.96364,203,103,0.4642
Tobias Harris,2013,Milwaukee Bucks,1524480,4.85714,203,103,0.41846
Tobias Harris,2013,Orlando Magic,1524480,17.2963,203,103,0.47947
Tobias Harris,2014,Orlando Magic,1545840,14.63934,203,103,0.4827
Tobias Harris,2015,Orlando Magic,2380594,17.11765,203,103,0.49135
Tobias Harris,2016,TOT,16000000,14.68421,203,103,0.44409
Tobias Harris,2016,Orlando Magic,16000000,13.65306,203,103,0.41553
Tobias Harris,2016,Detroit Pistons,16000000,16.55556,203,103,0.49502
Toby Bailey,2000,Phoenix Suns,535000,3.54348,198,97,0.36303
Todd Day,2000,Phoenix Suns,510000,6.82759,198,85,0.42083
Todd Day,2001,Minnesota Timberwolves,736000,4.25806,198,85,0.38261
Todd Fuller,2000,Charlotte Hornets,485000,3.26829,211,116,0.33584
Todd Fuller,2001,Miami Heat,611000,2.8,211,116,0.36364
Todd MacCulloch,2000,Philadelphia 76ers,301875,3.67857,213,127,0.39015
Todd MacCulloch,2001,Philadelphia 76ers,423500,4.12698,213,127,0.43551
Todd MacCulloch,2002,Brooklyn Nets,4538000,9.74194,213,127,0.40213
Todd MacCulloch,2003,Philadelphia 76ers,4991800,7.11905,213,127,0.36823
Tom Gugliotta,2000,Phoenix Suns,8558535,13.66667,208,109,0.41766
Tom Gugliotta,2001,Phoenix Suns,9360000,6.35088,208,109,0.31234
Tom Gugliotta,2002,Phoenix Suns,10114000,6.47727,208,109,0.25244
Tom Gugliotta,2003,Phoenix Suns,10892000,4.77778,208,109,0.28859
Tom Gugliotta,2004,TOT,11670000,2.92727,208,109,0.19658
Tom Gugliotta,2004,Phoenix Suns,11670000,2.26667,208,109,0.22368
Tom Gugliotta,2004,Utah Jazz,11670000,3.72,208,109,0.18058
Tom Gugliotta,2005,TOT,2700000,5.08511,208,109,0.24741
Tom Gugliotta,2005,Boston Celtics,2700000,1.3,208,109,0.11927
Tom Gugliotta,2005,Atlanta Hawks,2700000,7.88889,208,109,0.28476
Tom Hammonds,2000,Minnesota Timberwolves,1800000,2.08929,206,98,0.31452
Tom Hammonds,2001,Minnesota Timberwolves,1130000,1,206,98,0.23333
Toney Douglas,2010,New York Knicks,996240,8.58929,188,86,0.4425
Toney Douglas,2011,New York Knicks,1071000,10.5679,188,86,0.4343
Toney Douglas,2012,New York Knicks,1145640,6.23684,188,86,0.36128
Toney Douglas,2013,TOT,2067880,7.52113,188,86,0.41427
Toney Douglas,2013,Houston Rockets,2067880,8.14286,188,86,0.43702
Toney Douglas,2013,Sacramento Kings,2067880,6.13636,188,86,0.35904
Toney Douglas,2014,TOT,1600000,3.96078,188,86,0.29926
Toney Douglas,2014,Golden State Warriors,1600000,3.66667,188,86,0.33208
Toney Douglas,2014,Miami Heat,1600000,4.22222,188,86,0.27805
Toney Douglas,2015,New Orleans Pelicans,268974,4.25,188,86,0.28814
Toney Douglas,2016,New Orleans Pelicans,1164858,8.70492,188,86,0.42076
Tony Allen,2005,Boston Celtics,901920,6.38961,193,97,0.38986
Tony Allen,2006,Boston Celtics,969696,7.23529,193,97,0.3773
Tony Allen,2007,Boston Celtics,1037280,11.48485,193,97,0.47081
Tony Allen,2008,Boston Celtics,1868141,6.58667,193,97,0.3598
Tony Allen,2009,Boston Celtics,2500000,7.80435,193,97,0.40474
Tony Allen,2010,Boston Celtics,2500000,6.11111,193,97,0.3712
Tony Allen,2011,Memphis Grizzlies,3000000,8.93056,193,97,0.43039
Tony Allen,2012,Memphis Grizzlies,3150000,9.7931,193,97,0.37246
Tony Allen,2013,Memphis Grizzlies,3300000,8.92405,193,97,0.33428
Tony Allen,2014,Memphis Grizzlies,4494382,9,193,97,0.38732
Tony Allen,2015,Memphis Grizzlies,4831461,8.55556,193,97,0.32706
Tony Allen,2016,Memphis Grizzlies,5168539,8.35938,193,97,0.33025
Tony Battie,2000,Boston Celtics,2530920,6.59756,211,104,0.35947
Tony Battie,2001,Boston Celtics,3200000,6.5,211,104,0.30769
Tony Battie,2002,Boston Celtics,3600000,6.89189,211,104,0.28037
Tony Battie,2003,Boston Celtics,4000000,7.26866,211,104,0.28936
Tony Battie,2004,TOT,4400000,5.58904,211,104,0.27605
Tony Battie,2004,Boston Celtics,4400000,5.91304,211,104,0.27146
Tony Battie,2004,Cleveland Cavaliers,4400000,5.44,211,104,0.2784
Tony Battie,2005,Orlando Magic,4800000,4.8642,211,104,0.20803
Tony Battie,2006,Orlando Magic,5200000,7.91463,211,104,0.293
Tony Battie,2007,Orlando Magic,5746000,6.12121,211,104,0.25651
Tony Battie,2009,Orlando Magic,5746000,4.83117,211,104,0.30948
Tony Battie,2010,Brooklyn Nets,6292000,2.4,211,104,0.26866
Tony Battie,2011,Philadelphia 76ers,1352181,2.63158,211,104,0.26525
Tony Battie,2012,Philadelphia 76ers,1352181,1.55556,211,104,0.14237
Tony Bobbitt,2005,Los Angeles Lakers,305403,2.5,193,86,0.41667
Tony Delk,2000,Sacramento Kings,485000,6.43478,185,86,0.43402
Tony Delk,2001,Phoenix Suns,2250000,12.2561,185,86,0.43925
Tony Delk,2002,TOT,2475000,9.47619,185,86,0.41258
Tony Delk,2002,Phoenix Suns,2475000,10.60976,185,86,0.49601
Tony Delk,2002,Boston Celtics,2475000,7.36364,185,86,0.28421
Tony Delk,2003,Boston Celtics,2700000,9.76119,185,86,0.34917
Tony Delk,2004,Dallas Mavericks,2925000,5.9697,185,86,0.38703
Tony Delk,2005,Atlanta Hawks,2700000,11.91071,185,86,0.49776
Tony Delk,2006,TOT,3375000,7.58333,185,86,0.47273
Tony Delk,2006,Atlanta Hawks,3375000,2,185,86,0.28571
Tony Delk,2006,Detroit Pistons,3375000,7.82609,185,86,0.47619
Tony Farmer,2000,Golden State Warriors,510000,6.28378,206,111,0.38782
Tony Massenburg,2000,Houston Rockets,1150000,4.6,206,100,0.42202
Tony Massenburg,2001,VAN,1360000,4.48077,206,100,0.28311
Tony Massenburg,2002,Memphis Grizzlies,1650000,5.52055,206,100,0.32318
Tony Massenburg,2003,Utah Jazz,1800000,4.7069,206,100,0.3447
Tony Massenburg,2004,Sacramento Kings,1070000,4.25424,206,100,0.31812
Tony Massenburg,2005,San Antonio Spurs,1100000,3.21311,206,100,0.2804
Tony Parker,2002,San Antonio Spurs,744480,9.15584,188,82,0.31098
Tony Parker,2003,San Antonio Spurs,800400,15.47561,188,82,0.45746
Tony Parker,2004,San Antonio Spurs,856200,14.65333,188,82,0.42646
Tony Parker,2005,San Antonio Spurs,1545441,16.6375,188,82,0.48665
Tony Parker,2006,San Antonio Spurs,8400000,18.875,188,82,0.55617
Tony Parker,2007,San Antonio Spurs,9450000,18.55844,188,82,0.57183
Tony Parker,2008,San Antonio Spurs,10500000,18.76812,188,82,0.56012
Tony Parker,2009,San Antonio Spurs,11550000,21.95833,188,82,0.64373
Tony Parker,2010,San Antonio Spurs,12600000,15.96429,188,82,0.51736
Tony Parker,2011,San Antonio Spurs,13500000,17.53846,188,82,0.54114
Tony Parker,2012,San Antonio Spurs,12500000,18.25,188,82,0.56942
Tony Parker,2013,San Antonio Spurs,12500000,20.31818,188,82,0.61684
Tony Parker,2014,San Antonio Spurs,12500000,16.67647,188,82,0.56785
Tony Parker,2015,San Antonio Spurs,12500000,14.35294,188,82,0.49974
Tony Parker,2016,San Antonio Spurs,13437500,11.90278,188,82,0.43283
Tony Snell,2014,Chicago Bulls,1409040,4.49351,201,91,0.28107
Tony Snell,2015,Chicago Bulls,1472400,6.04167,201,91,0.30807
Tony Snell,2016,Chicago Bulls,1535880,5.28125,201,91,0.2598
Tony Wroten,2013,Memphis Grizzlies,1110120,2.6,198,93,0.33456
Tony Wroten,2014,Philadelphia 76ers,1160040,13.04167,198,93,0.53201
Tony Wroten,2015,Philadelphia 76ers,1210080,16.9,198,93,0.56648
Tony Wroten,2016,Philadelphia 76ers,2179354,8.375,198,93,0.46528
Torraye Braggs,2004,TOT,53697,2.66667,203,111,0.25974
Torraye Braggs,2004,Houston Rockets,53697,3.09091,203,111,0.25758
Torraye Braggs,2004,Washington Wizards,53697,1.5,203,111,0.27273
Toure' Murry,2015,TOT,250000,1.2,196,89,0.33333
Toure' Murry,2015,Utah Jazz,250000,0,196,89,0
Toure' Murry,2015,Washington Wizards,250000,1.5,196,89,0.35294
Tracy McGrady,2000,Toronto Raptors,1767120,15.35443,203,95,0.49269
Tracy McGrady,2001,Orlando Magic,9660000,26.81818,203,95,0.66893
Tracy McGrady,2002,Orlando Magic,10865250,25.63158,203,95,0.66896
Tracy McGrady,2003,Orlando Magic,12072500,32.09333,203,95,0.81483
Tracy McGrady,2004,Orlando Magic,13279750,28.02985,203,95,0.70206
Tracy McGrady,2005,Houston Rockets,14487000,25.67949,203,95,0.62948
Tracy McGrady,2006,Houston Rockets,15694250,24.40426,203,95,0.65731
Tracy McGrady,2007,Houston Rockets,16901500,24.60563,203,95,0.68807
Tracy McGrady,2008,Houston Rockets,19014187,21.62121,203,95,0.58484
Tracy McGrady,2009,Houston Rockets,20370437,15.57143,203,95,0.46147
Tracy McGrady,2010,TOT,23239562,8.16667,203,95,0.36404
Tracy McGrady,2010,Houston Rockets,23239562,3.16667,203,95,0.41304
Tracy McGrady,2010,New York Knicks,23239562,9.41667,203,95,0.36045
Tracy McGrady,2011,Detroit Pistons,1352181,7.97222,203,95,0.34045
Tracy McGrady,2012,Atlanta Hawks,1352181,5.25,203,95,0.32616
Tracy Murray,2000,Washington Wizards,2720000,10.1625,201,102,0.44402
Tracy Murray,2001,TOT,3060000,5.03922,201,102,0.43707
Tracy Murray,2001,Denver Nuggets,3060000,3.84615,201,102,0.37037
Tracy Murray,2001,Toronto Raptors,3060000,5.44737,201,102,0.45695
Tracy Murray,2002,Toronto Raptors,3400000,5.675,201,102,0.47992
Tracy Murray,2003,Los Angeles Lakers,3740000,1.96774,201,102,0.31606
Tracy Murray,2004,Portland Trail Blazers,143537,1.14286,201,102,0.22857
Trajan Langdon,2000,Cleveland Cavaliers,1394280,4.9,191,89,0.33793
Trajan Langdon,2001,Cleveland Cavaliers,1500120,5.98462,191,89,0.34857
